Disease,County,Year,Sex,Cases,Population
Chlamydia,Mono,2016,Total,33,13805
Chlamydia,Mono,2017,Female,NA,6518
Chlamydia,Mono,2017,Male,NA,7328
Chlamydia,Mono,2017,Total,26,13846
Chlamydia,Mono,2018,Female,NA,6547
Chlamydia,Mono,2018,Male,NA,7340
Chlamydia,Mono,2018,Total,22,13887
Chlamydia,Monterey,2015,Female,1251,211863
Chlamydia,Monterey,2015,Male,534,223480
Chlamydia,Monterey,2015,Total,1789,435343
Chlamydia,Monterey,2016,Female,1306,213886
Chlamydia,Monterey,2016,Male,506,225853
Chlamydia,Monterey,2016,Total,1814,439739
Chlamydia,Monterey,2017,Female,1462,215038
Chlamydia,Monterey,2017,Male,670,227158
Chlamydia,Monterey,2017,Total,2135,442196
Chlamydia,Monterey,2018,Female,1555,215824
Chlamydia,Monterey,2018,Male,680,227995
Chlamydia,Monterey,2018,Total,2239,443819
Chlamydia,Napa,2015,Female,308,70808
Chlamydia,Napa,2015,Male,135,70435
Chlamydia,Napa,2015,Total,443,141243
Chlamydia,Napa,2016,Female,308,70894
Chlamydia,Napa,2016,Male,132,70630
Chlamydia,Napa,2016,Total,441,141524
Chlamydia,Napa,2017,Female,373,70673
Chlamydia,Napa,2017,Male,175,70532
Chlamydia,Napa,2017,Total,549,141205
Chlamydia,Napa,2018,Female,379,70328
Chlamydia,Napa,2018,Male,201,70163
Chlamydia,Napa,2018,Total,584,140491
Chlamydia,Nevada,2015,Female,143,49621
Chlamydia,Nevada,2015,Male,80,48590
Chlamydia,Nevada,2015,Total,225,98211
Chlamydia,Nevada,2016,Female,157,49662
Chlamydia,Nevada,2016,Male,90,48686
Chlamydia,Nevada,2016,Total,247,98348
Chlamydia,Nevada,2017,Female,138,49777
Chlamydia,Nevada,2017,Male,79,48777
Chlamydia,Nevada,2017,Total,218,98554
Chlamydia,Nevada,2018,Female,147,49835
Chlamydia,Nevada,2018,Male,66,48884
Chlamydia,Nevada,2018,Total,215,98719
Chlamydia,Orange,2015,Female,7495,1595120
Chlamydia,Orange,2015,Male,3861,1569110
Chlamydia,Orange,2015,Total,11371,3164230
Chlamydia,Orange,2016,Female,8273,1603499
Chlamydia,Orange,2016,Male,4568,1578155
Chlamydia,Orange,2016,Total,12861,3181654
Chlamydia,Orange,2017,Female,8931,1614708
Chlamydia,Orange,2017,Male,5050,1591147
Chlamydia,Orange,2017,Total,14019,3205855
Chlamydia,Orange,2018,Female,9063,1619377
Chlamydia,Orange,2018,Male,5215,1597440
Chlamydia,Orange,2018,Total,14338,3216817
Chlamydia,Placer,2015,Female,645,189327
Chlamydia,Placer,2015,Male,312,182221
Chlamydia,Placer,2015,Total,958,371548
Chlamydia,Placer,2016,Female,629,191794
Chlamydia,Placer,2016,Male,333,184795
Chlamydia,Placer,2016,Total,963,376589
Chlamydia,Placer,2017,Female,672,194890
Chlamydia,Placer,2017,Male,345,188087
Chlamydia,Placer,2017,Total,1020,382977
Chlamydia,Placer,2018,Female,752,197781
Chlamydia,Placer,2018,Male,365,191266
Chlamydia,Placer,2018,Total,1124,389047
Chlamydia,Plumas,2015,Female,37,9831
Chlamydia,Plumas,2015,Male,30,9801
Chlamydia,Plumas,2015,Total,67,19632
Chlamydia,Plumas,2016,Female,39,9815
Chlamydia,Plumas,2016,Male,20,9775
Chlamydia,Plumas,2016,Total,59,19590
Chlamydia,Plumas,2017,Female,43,9785
Chlamydia,Plumas,2017,Male,25,9765
Chlamydia,Plumas,2017,Total,68,19550
Chlamydia,Plumas,2018,Female,32,9771
Chlamydia,Plumas,2018,Male,29,9746
Chlamydia,Plumas,2018,Total,61,19517
Chlamydia,Riverside,2015,Female,6846,1173164
Chlamydia,Riverside,2015,Male,2940,1160995
Chlamydia,Riverside,2015,Total,9801,2334159
Chlamydia,Riverside,2016,Female,5894,1187187
Chlamydia,Riverside,2016,Male,2653,1175084
Chlamydia,Riverside,2016,Total,8574,2362271
Chlamydia,Riverside,2017,Female,7751,1202109
Chlamydia,Riverside,2017,Male,3392,1190402
Chlamydia,Riverside,2017,Total,11162,2392511
Chlamydia,Riverside,2018,Female,7818,1215557
Chlamydia,Riverside,2018,Male,3650,1204340
Chlamydia,Riverside,2018,Total,11487,2419897
Chlamydia,Sacramento,2015,Female,5752,758822
Chlamydia,Sacramento,2015,Male,2647,731203
Chlamydia,Sacramento,2015,Total,8413,1490025
Chlamydia,Sacramento,2016,Female,5703,766124
Chlamydia,Sacramento,2016,Male,2769,739070
Chlamydia,Sacramento,2016,Total,8501,1505194
Chlamydia,Sacramento,2017,Female,6364,773158
Chlamydia,Sacramento,2017,Male,3374,747527
Chlamydia,Sacramento,2017,Total,9764,1520685
Chlamydia,Sacramento,2018,Female,7549,779809
Chlamydia,Sacramento,2018,Male,4020,755084
Chlamydia,Sacramento,2018,Total,11645,1534893
Chlamydia,San Benito,2015,Female,120,29382
Chlamydia,San Benito,2015,Male,45,29291
Chlamydia,San Benito,2015,Total,165,58673
Chlamydia,San Benito,2016,Female,134,29824
Chlamydia,San Benito,2016,Male,57,29726
Chlamydia,San Benito,2016,Total,191,59550
Chlamydia,San Benito,2017,Female,137,30223
Chlamydia,San Benito,2017,Male,81,30068
Chlamydia,San Benito,2017,Total,222,60291
Chlamydia,San Benito,2018,Female,162,30694
Chlamydia,San Benito,2018,Male,75,30566
Chlamydia,San Benito,2018,Total,238,61260
Chlamydia,San Bernardino,2015,Female,7899,1071599
Chlamydia,San Bernardino,2015,Male,3160,1058476
Chlamydia,San Bernardino,2015,Total,11060,2130075
Chlamydia,San Bernardino,2016,Female,7994,1079142
Chlamydia,San Bernardino,2016,Male,3510,1065725
Chlamydia,San Bernardino,2016,Total,11530,2144867
Chlamydia,San Bernardino,2017,Female,9081,1088247
Chlamydia,San Bernardino,2017,Male,4026,1075314
Chlamydia,San Bernardino,2017,Total,13137,2163561
Chlamydia,San Bernardino,2018,Female,9243,1095268
Chlamydia,San Bernardino,2018,Male,4111,1083224
Chlamydia,San Bernardino,2018,Total,13379,2178492
Chlamydia,San Diego,2015,Female,11165,1629486
Chlamydia,San Diego,2015,Male,6200,1646411
Chlamydia,San Diego,2015,Total,17397,3275897
Chlamydia,San Diego,2016,Female,11661,1640100
Chlamydia,San Diego,2016,Male,7200,1657102
Chlamydia,San Diego,2016,Total,18909,3297202
Chlamydia,San Diego,2017,Female,12768,1650959
Chlamydia,San Diego,2017,Male,8022,1669428
Chlamydia,San Diego,2017,Total,20814,3320387
